utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
98,true,9,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,18214,18216,0.01
98,false,10,false,58,true,-857340.8,44742.4,53442.4,53442.4,100,0,0,17203,17203,0.00
98,true,10,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,16577,16579,0.01
98,false,11,false,36,true,-1257966.4,43642.4,53442.4,53442.4,100,0,0,17409,17409,0.00
98,true,11,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,17040,17041,0.01
98,false,12,false,35,true,-859540.8,41742.4,51036,51036,100,0,0,16942,16942,0.00
98,true,12,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,17170,17172,0.01
98,false,13,false,170,true,-1457108.8,47142.4,52142.4,52142.4,100,0,0,17298,17298,0.00
98,true,13,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,16836,16838,0.01
98,false,14,false,24,true,-556596,43842.4,53442.4,53442.4,100,0,0,17767,17767,0.00
98,true,14,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,17473,17475,0.01
98,false,15,false,20,true,-658228,42542.4,53242.4,53242.4,100,0,0,17524,17524,0.00
98,true,15,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,17273,17275,0.01
98,false,16,false,111,true,-1155934.4,48142.4,53342.4,53342.4,100,0,0,18277,18277,0.00
98,true,16,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,17131,17132,0.01
98,false,17,false,162,true,-1558285.6,48142.4,52342.4,52342.4,100,0,0,17869,17869,0.00
98,true,17,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,2,17639,17641,0.01
98,false,18,false,200,true,-1358528,48942.4,51742.4,51742.4,100,0,0,17048,17048,0.00
98,true,18,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,16057,16058,0.01
98,false,19,false,70,true,-1158240.8,44642.4,52736,52736,100,0,0,16867,16867,0.00
98,true,19,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,16395,16397,0.01
98,false,20,false,100,true,-1259847.2,43742.4,50642.4,50642.4,100,0,0,16790,16790,0.00
98,true,20,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,18396,18398,0.01
98,false,21,false,37,true,-1157028,44142.4,53542.4,53542.4,100,0,0,19120,19120,0.00
98,true,21,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,2,17126,17128,0.01
98,false,22,false,82,true,-1059308.8,43642.4,50842.4,50842.4,100,0,0,19504,19504,0.00
98,true,22,true,0,true,87942.4,87942.4,87942.4,87942.4,100,3,1,16307,16308,0.01
98,false,23,false,89,true,-1258340.8,45142.4,52042.4,52042.4,100,0,0,16753,16753,0.00
