generation,parent_fitness,parent_hc_cov,parent_hc_skills,parent_hc_1shift,parent_hc_forb,parent_soft_pen,objective_delta,survived_generation,became_champion
4,18650,10000,6000,38000,22000,5350,-960,true,false
4,15665,9000,6000,42000,22000,5335,0,false,false
4,17270,14000,8000,34000,22000,4730,0,true,false
4,18085,13000,8000,34000,22000,4915,0,true,false
4,16615,9000,6000,40000,23000,5385,0,false,false
4,15820,9000,6000,41000,23000,5180,0,false,false
4,17620,9000,6000,39000,23000,5380,-170,true,false
4,15735,9000,6000,40000,24000,5265,0,false,false
4,18650,10000,6000,38000,22000,5350,-75,true,false
4,17625,9000,6000,40000,22000,5375,-1000,false,false
4,15720,9000,6000,39000,25000,5280,55,false,false
4,17620,9000,6000,39000,23000,5380,0,true,false
4,18650,9000,6000,39000,22000,5350,0,true,false
4,18190,14000,8000,32000,23000,4810,0,true,false
4,16655,9000,6000,41000,22000,5345,0,false,false
4,16960,13000,8000,33000,24000,5040,0,false,false
4,17515,9000,6000,40000,22000,5485,-1060,false,false
4,15775,10000,6000,40000,23000,5225,-985,false,false
4,18620,9000,6000,38000,23000,5380,0,true,false
4,18620,9000,6000,38000,23000,5380,-1840,false,false
4,16620,9000,6000,40000,23000,5380,-1065,false,false
4,16190,14000,8000,33000,24000,4810,-1040,false,false
4,16655,9000,6000,41000,22000,5345,-1010,false,false
4,18620,9000,6000,38000,23000,5380,-1015,true,false
4,16520,14000,8000,32000,25000,4480,-1105,false,false
4,17515,9000,6000,40000,22000,5485,0,true,false
4,18085,13000,8000,34000,22000,4915,-880,true,false
4,17515,9000,6000,40000,22000,5485,-1000,false,false
4,18620,9000,6000,38000,23000,5380,-1000,true,false
4,17620,9000,6000,39000,23000,5380,105,true,false
4,16190,14000,8000,33000,24000,4810,0,false,false
4,16960,13000,8000,33000,24000,5040,60,false,false
4,15645,9000,6000,40000,24000,5355,0,false,false
4,18085,13000,8000,34000,22000,4915,-1000,false,false
4,17620,9000,6000,39000,23000,5380,-1985,false,false
4,16620,9000,6000,40000,23000,5380,-970,false,false
4,17270,14000,8000,34000,22000,4730,-35,true,false
4,18190,14000,8000,32000,23000,4810,0,true,false
4,18650,9000,6000,39000,22000,5350,30,true,false
4,18155,14000,8000,33000,22000,4845,0,true,false
4,17225,14000,7000,33000,24000,4775,0,true,false
4,14595,9000,6000,42000,23000,5405,-890,false,false
4,16800,7000,5000,42000,24000,5200,-4180,false,false
4,17765,9000,6000,39000,23000,5235,0,true,false
4,17515,9000,6000,40000,22000,5485,-1985,false,false
4,16655,9000,6000,41000,22000,5345,-3015,false,false
4,18650,10000,6000,38000,22000,5350,-970,true,false
4,17700,10000,6000,38000,23000,5300,0,true,false
4,17515,9000,6000,40000,22000,5485,35,true,false
4,16800,7000,5000,42000,24000,5200,15,false,false
4,17625,9000,6000,40000,22000,5375,-3050,false,false
4,15565,9000,6000,41000,23000,5435,0,false,false
4,16280,14000,8000,33000,24000,4720,1050,true,false
4,17620,9000,6000,39000,23000,5380,-970,false,false
4,17515,9000,6000,40000,22000,5485,0,true,false
4,18650,9000,6000,39000,22000,5350,0,true,false
4,18620,9000,6000,38000,23000,5380,-15,true,false
4,18155,14000,8000,33000,22000,4845,-2080,false,false
4,16715,9000,6000,40000,23000,5285,-945,false,false
4,16190,14000,8000,33000,24000,4810,0,false,false
5,17515,9000,6000,40000,22000,5485,-930,false,false
5,18650,9000,6000,39000,22000,5350,-2955,false,false
5,17620,9000,6000,39000,23000,5380,-1005,false,false
5,18575,10000,6000,38000,22000,5425,0,true,false
5,18650,9000,6000,39000,22000,5350,-1800,false,false
5,18140,13000,7000,33000,24000,4860,-985,false,false
5,18680,9000,6000,40000,21000,5320,0,true,false
5,18190,14000,8000,32000,23000,4810,0,true,false
5,18650,10000,6000,38000,22000,5350,-2000,false,false
5,17550,9000,6000,41000,21000,5450,-2000,false,false
5,18605,8000,6000,38000,24000,5395,-970,false,false
5,17620,9000,6000,39000,23000,5380,0,false,false
5,17620,9000,6000,39000,23000,5380,45,true,false
5,17550,9000,6000,41000,21000,5450,0,false,false
5,18650,9000,6000,39000,22000,5350,1975,true,false
5,18605,8000,6000,38000,24000,5395,30,true,false
5,17525,9000,6000,39000,23000,5475,0,false,false
5,18710,8000,6000,40000,22000,5290,-1000,true,false
5,18620,9000,6000,38000,23000,5380,-990,false,false
5,18155,14000,8000,33000,22000,4845,-40,true,false
5,18190,14000,8000,32000,23000,4810,15,true,false
5,18155,14000,8000,33000,22000,4845,0,true,false
