ticker,date,entry_price,b_realized,b_mfe,b_mae,b_duration,b_round_trip,b_exit_ts,b_exit_reason,m_realized,m_mfe,m_mae,m_duration,m_round_trip,m_exit_ts,m_exit_reason,triggered,trigger_bar,trigger_ts,trigger_return,imv,profit_capture
RELIANCE_NS,20260909,1279.0,0.00836587269106724,0.012197009840451524,-0.0008600278232505864,300,0,1788943500,H300,0.00836587269106724,0.012197009840451524,-0.0008600278232505864,300,0,1788943500,H300,1,18.0,1788926580.0,0.005160262381499218,0.0,1.621210720032552
SBILIFE_NS,20260909,1684.0,-0.0007719714964370276,0.010926380293386283,-0.0007720004917606888,49,1,1788928380,STOP,0.0004999999999999234,0.010926380293386283,-0.0006531921531695368,45,0,1788928140,E4-PP-050,1,0.0,1788925500.0,0.010926380293386283,0.001271971496436951,0.0457608088474252
SHREECEM_NS,20260909,22950.0,-0.0015721132897604246,0.011982570806100218,-0.0017429193899782135,160,1,1788936000,STOP,0.0004999999999999366,0.011982570806100218,0.00043572984749455336,144,0,1788935040,E4-PP-050,1,0.0,1788925500.0,0.011982570806100218,0.002072113289760361,0.041727272727267437
TATACONSUM_NS,20260909,1001.0,0.00789213228178072,0.012187824382648602,0.002697314892139111,300,0,1788943500,H300,0.00789213228178072,0.012187824382648602,0.002697314892139111,300,0,1788943500,H300,1,0.0,1788925500.0,0.011988011988011988,0.0,0.6583353678385417
ULTRACEMCO_NS,20260909,10900.0,0.0022935779816513763,0.008623853211009174,0.0005504587155963303,300,0,1788943500,H300,0.0022935779816513763,0.008623853211009174,0.0005504587155963303,300,0,1788943500,H300,1,0.0,1788925500.0,0.007247706422018349,0.0,0.31645569620253167
UNITDSPR_NS,20260909,1405.199951,-0.0015655786199212979,0.024551666221823646,-0.007045191088164972,300,1,1788943500,H300,0.000499999999999914,0.024551666221823646,-0.00028458737960421085,117,0,1788932460,E4-PP-050,1,0.0,1788925500.0,0.024551666221823646,0.002065578619921212,0.020365216579698805
WIPRO_NS,20260909,167.0,-0.0012574850299401673,0.010179622444563998,-0.0025149590954809133,1,1,1788925500,STOP,-0.0012574850299401673,0.010179622444563998,-0.0025149590954809133,1,1,1788925500,STOP,0,,,,0.0,
ADANIENT_NS,20260915,3015.0,-0.0076285240464344945,0.016451110333747927,-0.0076617239324212275,134,1,1789451880,STOP,0.0004643125518242123,0.016451110333747927,0.00013263759328358208,18,0,1789444920,E4-PP-050,1,0.0,1789443900.0,0.016451110333747927,0.008092836598258707,0.028223782006477592
ADANIGREEN_NS,20260915,1278.800049,-0.021269997162834363,0.010322138328288457,-0.021269997162834363,300,1,1789461900,H300,0.0004999999999999934,0.010322138328288457,0.00023453751520583147,22,0,1789445160,E4-PP-050,1,1.0,1789443960.0,0.009931146788687726,0.021769997162834356,0.05034665287291177
AMBUJACEM_NS,20260915,390.5,-0.0031498079385403797,0.007298351097351152,-0.0035851316171174774,87,1,1789449060,STOP,0.0004999999999999674,0.007298351097351152,-0.00012800971310819462,34,0,1789445880,E4-PP-050,1,1.0,1789443960.0,0.006145951079345391,0.003649807938540347,0.08135437356153227
